/*********************************************
 * OPL 20.1.0.0 Data
 * Author: Chris
 * Creation Date: Aug 22, 2023 at 1:24:17 PM
 *********************************************/

/*Cost = [[9999.99, 468.78, 1355.41, 369.73, 2534.35, 2057.14, 2172.91, 3407.69, 223.23, 3838.05], 
[468.78, 9999.99, 914.85, 813.02, 2164.53, 1640.35, 2150.88, 3324.81, 592.0, 3699.48], 
[1355.41, 914.85, 9999.99, 1718.53, 1315.72, 737.41, 2003.6, 2948.82, 1505.93, 3199.89], 
[369.73, 813.02, 1718.53, 9999.99, 2902.2, 2425.97, 2413.64, 3665.44, 240.29, 4122.06], 
[2534.35, 2164.53, 1315.72, 2902.2, 9999.99, 628.95, 1858.38, 2202.46, 2725.02, 2234.57], 
[2057.14, 1640.35, 737.41, 2425.97, 628.95, 9999.99, 1997.72, 2642.49, 2225.26, 2768.77], 
[2172.91, 2150.88, 2003.6, 2413.64, 1858.38, 1997.72, 9999.99, 1256.59, 2390.01, 1756.64], 
[3407.69, 3324.81, 2948.82, 3665.44, 2202.46, 2642.49, 1256.59, 9999.99, 3628.3, 577.59], 
[223.23, 592.0, 1505.93, 240.29, 2725.02, 2225.26, 2390.01, 3628.3, 9999.99, 4061.07], 
[3838.05, 3699.48, 3199.89, 4122.06, 2234.57, 2768.77, 1756.64, 577.59, 4061.07, 9999.99]];

p=[0, 98, 84, 74, 65, 50, 43, 37, 28, 19];*/
Cost =[[9999.99, 2379.59, 2293.68, 1983.93, 2555.68, 1385.43, 1716.64, 1089.11, 358.10, 2517.86],
[2379.59, 9999.99, 290.64, 840.35, 229.24, 1571.30, 1275.43, 1347.20, 2112.77, 138.40],
[2293.68, 290.64, 9999.99, 567.21, 504.07, 1342.01, 1017.02, 1333.55, 2061.38, 367.04],
[1983.93, 840.35, 567.21, 9999.99, 1065.49, 815.75, 457.20, 1242.23, 1828.27, 933.68],
[2555.68, 229.24, 504.07, 1065.49, 9999.99, 1799.36, 1504.10, 1496.46, 2272.57, 148.98],
[1385.43, 1571.30, 1342.01, 815.75, 1799.36, 9999.99, 389.95, 1152.20, 1365.52, 1689.51],
[1716.64, 1275.43, 1017.02, 457.20, 1504.10, 389.95, 9999.99, 1238.59, 1638.34, 1379.66],
[1089.11, 1347.20, 1333.55, 1242.23, 1496.46, 1152.20, 1238.59, 9999.99, 779.08, 1481.80],
[358.10, 2112.77, 2061.38, 1828.27, 2272.57, 1365.52, 1638.34, 779.08, 9999.99, 2249.55],
[2517.86, 138.40, 367.04, 933.68, 148.98, 1689.51, 1379.66, 1481.80, 2249.55, 9999.99]];
p=[0, 100, 98, 84, 74, 65, 50, 43, 37, 28];

//p=[0, 98, 84, 74, 65];
//p=[100, 98, 84, 74, 65, 50, 43, 37, 28, 19, 8, 96, 82, 77, 62, 59, 48, 30, 22, 12];
